Rank,Name,Points
344,Novak Dennis,146
345,Sanchez Izquierdo Nikolas,146
346,Zeppieri Giulio,145
347,Cecchinato Marco,145
348,Sekulic Philip,144
349,Engel Justin,144
349,Vesely Jiri,144
351,Picchione Andrea,143
352,Pinnington Jones Jack,142
353,Kopp Sandro,142
354,Cretu Cezar,142
355,Nakagawa Naoki,141
356,Bar Biryukov Petr,141
357,Kodat Toby,141
358,Ionel Nicholas David,141
359,Kuzmanov Dimitar,140
360,Barton Hynek,139
361,Sakamoto Pedro,139
362,Tabur Clement,139
363,Sakamoto Rei,138
364,Sels Jelle,138
365,van Wyk Kris,138
366,Pucinelli de Almeida Matheus,136
367,Polmans Marc,136
368,Uchida Kaichi,136
369,Kwon Soonwoo,135
370,Peniston Ryan,134
371,Roncadelli Franco,134
372,Ambrogi Luciano Emanuel,134
373,Hussey Giles,133
374,Zhou Yi,133
375,Crawford Oliver,133
376,Sachko Vitaliy,133
377,Nicod Jakub,132
378,Olivo Renzo,129
379,Kozlov Stefan,128
380,Ilagan Andre,128
381,Dellavedova Matthew,127
382,Llamas Ruiz Pablo,126
383,Zakharov Alexey,126
384,Mikrut Luka,126
385,Vrbensky Michael,126
386,Fonio Giovanni,126
387,Karlovskiy Evgeny,126
388,Pennaforti Gabriele,126
389,Searle Henry,123
390,Campana Lee Gerard,121
391,Kolar Zdenek,120
392,Bagnis Facundo,119
393,Marmousez Lilian,119
394,Gombos Norbert,119
395,Bouzige Moerani,119
396,Nijboer Ryan,119
397,Kuhn Nicola,118
398,Strombachs Robert,118
399,Lingua Lavallen Alejo Lorenzo,117
400,Seggerman Ryan,117
401,Gerasimov Egor,117
402,Villanueva Gonzalo,117
403,Matusevich Anton,116
404,Nanda Govind,116
405,Topo Marko,116
406,Moriya Hiroki,116
407,Ursu Vadym,115
408,Agamenone Franco,115
409,De Loore Joris,114
410,Fatic Nerman,114
411,Reis Da Silva Joao Lucas,114
412,Araujo Pedro,114
413,Wu Yibing,113
414,Tiurnev Evgenii,113
415,Samrej Kasidit,113
416,Kypson Patrick,113
417,Alcala Gurri Max,113
417,Justo Guido Ivan,113
419,Zink Tyler,112
420,Piraino Gabriele,112
421,Boitan Gabi Adrian,112
422,Purtseladze Saba,112
423,Gojo Borna,111
424,Gray Alastair,111
425,Braswell Micah,111
426,Karol Milos,111
427,Oberleitner Neil,110
428,Poullain Lucas,109
429,Jorda Sanchis David,108
430,Compagnucci Tommaso,108
431,Damas Miguel,108
432,Johns Garrett,107
433,Masur Daniel,106
434,Pokorny Lukas,106
435,Nesterov Petr,105
435,Casanova Hernan,105
437,Popovic Stefan,103
438,Sasikumar Mukund,102
439,Fery Arthur,101
440,Paris Tom,101
441,Maloney Patrick,101
442,Sakellaridis Stefanos,101
443,Raonic Milos,100
444,Glinka Daniil,100
445,Kubler Jason,99
446,Gerch Lucas,98
447,Weis Alexander,98
448,Cadenasso Gianluca,97
448,Escobedo Ernesto,97
450,Ramanathan Ramkumar,97
451,Isomura Kokoro,96
452,De Krom Michiel,96
453,Marie Jules,95
454,Boscardin Dias Pedro,95
455,Artnak Bor,94
455,Brancaccio Raul,94
457,Tomescu Dan Alexandru,93
458,Parker Stuart,92
459,Pecci Alessandro,92
460,Lokoli Laurent,91
461,Farjat Tomas,90
462,Rodriguez Lorenzo Joaquin,89
462,Bertran Peter,89
464,McHugh Aidan,88
465,Bakshi Aleksandre,88
466,Gulin Svyatoslav,88
466,Rai Ajeet,88
466,Iannaccone Federico,88
469,Luz Orlando,87
470,Delaney Jake,87
471,Cid Subervi Roberto,86
472,Agafonov Egor,86
472,Mott Blake,86
474,Neuchrist Maximilian,85
475,Loffhagen George,85
476,Kudla Denis,85
477,Moeller Marvin,85
478,Binda Alexandr,85
478,Vale Duarte,85
480,Gentzsch Tom,85
481,Celikbilek Altug,84
482,Dostanic Stefan,84
482,Juarez Facundo,84
484,Aguilar Juan Carlos Manuel,84
485,Juszczak Pawel,84
486,Singh Karan,84
487,Pannu Kiranpal,84
488,Aboian Valerio,84
489,Edmund Kyle,82
490,Martin Andres,82
491,Echargui Moez,82
492,Wiskandt Max,82
493,Damm Martin (2003),81
494,Agwi Michael,81
495,Borg Leo,81
496,Milev Yanaki,81
497,Forejtek Jonas,80
498,Bax Florent,80
499,Lopez Montagud Carlos,80
500,Added Dan,80
501,Kumar Omni,79
502,Dzhavakian Yurii,79
503,Pereira Tiago,79
504,Paulson Andrew,78
505,Bouquet Lucas,78
506,Ayeni Alafia,78
507,Kuzuhara Bruno,78
508,Vanshelboim Eric,78
509,Broska Florian,77
510,Slump Stijn,77
511,Krumich Martin,77
512,Safwat Mohamed,76
513,Palosi Stefan,76
514,Pereira Jose,76
515,Fajta Peter,76
516,Tudorica Alvin Nicholas,75
516,Colson Tibo,75
518,Kestelboim Mariano,75
518,Kellovsky Dominik,75
520,Guerrieri Andrea,74
521,Kivattsev Kirill,74
522,Corwin Felix,73
523,Takahashi Yusuke,73
524,Bourgue Mathias,73
525,Bondioli Federico,73
526,Bonadio Riccardo,72
527,Smith Keegan,72
528,Schiessl Joao Eduardo,72
528,Serafini Marcello,72
530,Bobrov Bogdan,72
531,Barroso Campos Alberto,71
532,Perez Alfredo,70
533,Montes-De La Torre Inaki,70
534,Hudd Emile,70
535,Radulov Iliyan,70
536,Kingsley Cannon,69
537,Kwiatkowski Thai Son,68
538,Kumasaka Takuya,68
539,Bradshaw Jacob,68
540,Cornut-Chauvinc Antoine,67
541,Potenza Luca,67
542,Shiraishi Hikaru,67
542,Basic Mirza,67
544,Krutykh Oleksii,67
545,Sigsgaard Christian,66
546,Reymond Arthur,66
547,Adams Harrison,65
548,Domingues Joao,65
549,Nedic Andrej,65
550,Bielinskyi Viacheslav,65
550,Weber Arthur,65
552,Naw Hazem,65
553,Dedura-Palomero Diego,65
553,Cina Federico,65
553,Imai Shintaro,65
556,Fanselow Sebastian,65
557,Visker Niels,65
558,Ribeiro Eduardo,64
559,Cesar Porras Julio,64
560,Marchenko Illya,64
561,Fomin Sergey,64
562,Oradini Giovanni,64
563,Rybakov Alex,63
564,Barrena Alex,63
565,Andaloro Fabrizio,63
566,Shin Woobin,63
567,Gautier Alexis,63
568,Shah Aryan,62
569,Malige Mae,62
570,Vasa Eero,62
571,Paire Benoit,62
572,Taguchi Ryotaro,61
573,Oliel Yshai,61
574,La Serna Juan Manuel,61
575,Pieczkowski Olaf,61
575,Aboian Leonardo,61
577,Gonzalez Fernandez Mario,61
578,Martinez Alex,60
579,Beckley Alec,60
580,Banerjee Samir,59
581,Feldbausch Kilian,59
582,Ferrari Gianmarco,59
583,Estevez Juan,59
584,Ghibaudo Antoine,58
585,Saitoh Keisuke,58
586,Erel Yanki,58
587,Arutiunian Erik,58
588,Orlov Vladyslav,58
589,Svajda Trevor,57
589,Basing Max,57
591,Thanos Aristotelis,57
592,Diez Steven,57
593,Barreto Sanchez Diego Augusto,57
594,Te Rigele,56
595,Gavrielides Liam,56
596,Mo Yecong,56
596,Dussin Louis,56
598,Snitari Ilya,56
599,Paz Juan Pablo,56
600,Papamalamis Theo,55
601,Gill Felix,54
602,Djuric Branko,54
603,Javia Dev,54
604,Obradovic Dusan,54
605,Kirchheimer Strong,54
605,Peliwo Filip,54
607,Wessels Louis,54
608,Cukierman Daniel,53
609,Winter Edward,53
610,Serdarusic Nino,52
611,Benchetrit Elliot,52
612,Leong Mitsuki Wei Kang,52
613,Palan Dominik,52
614,Brumm Jacob,52
615,Matsuda Ryuki,52
616,Papoe Radu Mihai,51
617,Hilderbrand Trey,51
618,Bailly Gilles Arnaud,51
619,Zhukov Maxim,51
619,Ejupovic Elmar,51
621,Bittoun Kouzmine Constantin,51
622,Polukhin Savva,50
623,Poling Karl,50
624,Gimenez Igor,50
625,Zhu Evan,50
626,Gima Sebastian,50
627,Kim Aidan,49
628,Thiem Dominic,49
629,Hernandez Alex,49
629,Nikles Johan,49
631,Jones Maximus,49
632,Massard Loann,49
633,Sperle John,49
634,Wendelken Harry,49
635,Donskoy Evgeny,48
636,Tammaro Mariano,48
637,Demanet Emilien,48
638,Sanchez Quilez Alejo,48
639,Oetzbach Adrian,48
640,Legout Timo,47
641,Molcan Alex,47
642,Wenger Damian,47
643,Barreiros Reyes Mateo,47
644,Manzanera Pertusa Alejandro,47
645,Ogura Kosuke,47
646,Gomez Juan Sebastian,46
647,Miyoshi Kenta,46
648,Wallin Olle,46
649,Donski Alexander,46
650,Blanch Darwin,46
651,Stewart Hamish,46
652,Lumsden Ewen,46
653,Sorger Sebastian,45
653,Wassermann Deney,45
655,Ilkel Cem,45
656,Handel Tim,45
657,McKennon Maxwell,45
657,Haliak Mikalai,45
657,Jones Ben,45
660,Rossi Leonardo,45
661,Beauge Maxence,45
662,Ribero Franco,45
663,Quan Rudy,44
664,Shin Sanhui,44
665,Lopez Morillo Imanol,44
666,Elsayed Amr,44
667,Sweeny Dane,44
668,Chung Hyeon,43
669,Kang Kyle,43
670,Bellier Antoine,43
671,Mochizuki Yuki,43
672,Monzon Ignacio,43
673,Braynin Aleksandr,43
674,Hamza Reguig Samir,43
675,Ichikawa Taisei,42
676,Giannessi Alessandro,42
677,Garcian Axel,42
678,Matsuoka Hayato,42
678,Steiner Maik,42
680,Loge Jack,42
681,Chepelev Andrey,42
682,Vives Marcos Pedro,41
683,Kimhi Orel,41
684,Chappell Nick,41
685,Zakaria Fares,41
686,Gadamauri Buvaysar,41
687,Neff Adam,40
688,Giunta Massimo,40
688,Sinclair Colin,40
690,Vilicich Bautista,40
691,Vylegzhanin Nikolay,40
692,Schachter Noah,40
693,De Schepper Kenny,40
694,Badenhorst Devin,39
695,Gaio Federico,39
696,Xiao Linang,39
697,Rivet Maxence,39
698,Huang Tsung-Hao,39
699,Ouakaa Aziz,39
700,Melzer Gerald,38
701,Story James,38
702,Pedrico Kravtsov Albert,38
703,Baadi Taha,38
704,Demin Yaroslav,38
705,Trongcharoenchaikul Wishaya,38
706,Vankan Marlon,38
707,Lamasine Tristan,38
708,Heller Peter,37
709,Kicker Nicolas,37
710,Saville Luke,37
711,Madarasz Gergely,37
712,Chanta Thanapet,37
713,Rodriguez Johan Alexander,37
714,Echeverria John,37
715,Falabella Lautaro Agustin,37
716,Knaff Alex,37
717,Castagnola Luca,37
718,Blanch Dali,37
718,Perez Contri Sergi,37
720,Krajinovic Filip,36
721,Nam Ji Sung,36
722,Donnet Etienne,36
723,Romano Filippo,36
724,La Vela Giuseppe,36
725,Zheng Michael,35
726,Ozolins Karlis,35
727,Gorokhov Mikhail,35
728,Pieri Samuele,35
729,Fernandez Flores Diego,35
730,Leite Wilson,35
731,McCormick Tristan,35
732,Sandgren Tennys,34
733,Beaupain Simon,34
734,Andreescu Stefan Adrian,34
734,Vandecasteele Quinn,34
736,Ribecai Michele,34
737,Vithoontien Leo,34
738,Tkemaladze Zura,34
739,Saraiva Dos Santos Paulo Andre,34
740,Young Gavin,33
741,Tarvet Oliver,33
742,Ly Nam Hoang,33
743,Lavagno Edoardo,33
744,Planinsek Filip Jeff,33
745,Tabacco Fausto,33
746,Dalmasso Guillaume,33
747,Pieczonka Filip,33
748,Pavel Bogdan,33
749,Ymer Mikael,32
750,Milavsky Daniel,32
751,Hoang Antoine,32
752,Chirita Ioan Alexandru,32
753,Heinonen Adam,32
754,Ganesan Adhithya,32
754,Marrero Curbelo Ivan,32
756,Masabayashi Tomohiro,32
757,Carboni Lorenzo,32
758,Grant William,32
759,Montsi Khololwam,31
760,Borisiouk Martin,31
761,Rubio Fierros Alan Fernando,31
762,Stater Alexander,31
762,Klintcharov Alexander,31
764,Dhamne Manas,31
764,Rocha Francisco,31
764,Tessa Louis,31
767,Reco Alexandre,31
768,Ponwith Nathan,31
769,Jong Alexander Maarten (Jong Sander),30
770,Bigun Kaylan,30
770,Zanellato Nicolas,30
772,Ehrenschneider Nino,30
773,Radjenovic Vuk,30
774,Zekic Miljan,30
775,Watt James,30
775,Bonsach Ganley Kane,30
777,Dev S D Prajwal,30
778,Pawelski Martyn,30
778,Klok Denis,30
780,Wehnelt Kai,30
781,Sheehy Joshua,30
781,Catini Niccolo,30
783,Martin Dan,30
784,Bernet Henry,29
785,Baris Ozan,29
785,Rola Blaz,29
787,Vishwakarma Siddharth,29
788,Aksu Cengiz,29
788,Lee Duck Hee,29
790,Hulme Matthew,29
791,Castelnuovo Luca,29
792,Rottoli Lorenzo,29
792,Clark Ezekiel,29
794,Andreozzi Guido,28
795,Paroulek Tadeas,28
796,Bodmer Adrian,28
797,Anderson Oliver,28
798,Huertas Del Pino Conner,28
799,Jones Miles,28
800,Paty Daniel,28
801,Nunez Daniel Antonio,28
802,Buldorini Peter,28
802,Caniato Carlo Alberto,28
804,Blanch Ulises,27
805,Filip Jakub,27
805,Wiedenmann Luca,27
807,Pichler David,27
808,Hazawa Shinji,27
809,Parisca Ignacio,27
810,Otegui Juan Bautista,27
811,Wallart Enzo,27
812,Xilas Ioannis,26
813,Privara Peter Benjamin,26
814,Ghazouani Durand Yanis,26
815,Broady Liam,26
816,Philippov Evgeny,26
816,Hjorth Philip,26
818,D'Agostino Stefano,26
819,Otte Oscar,25
820,Basile Pierluigi,25
821,Hurrion Millen,25
822,Furness Evan,25
823,Aguilar Cardozo Joaquin,25
824,Winter Lopez Benjamin,25
825,Cazacu Dragos Nicolae,25
825,Aubriot Alexandre,25
827,Mansouri Skander,24
828,Londero Juan Ignacio,24
829,Pospisil Vasek,24
830,Mazza Manuel,24
831,Zhang Tianhui,24
831,Sornlaksup Pawit,24
833,Alkaya Mert,24
833,Salle Fabien,24
835,Ferrari Francesco,24
836,Marinkov Pavle,24
837,Martin Toby,24
838,Noce Gabriele Maria,24
839,Bertimon Maxence,24
840,Ivanov Saveliy,24
841,Bocchi Lorenzo,23
842,Bernard Alexander,23
843,Anthrop Jack,23
844,Balshaw Felix,23
844,Alvarez Valdes Luis Carlos,23
846,Kravchenko Georgii,23
846,Tokuda Renta,23
846,Milojevic Nikola,23
849,Rottgering Mees,23
850,Markovic Sasa,23
851,Dancu Vlad Andrei,23
851,Rawat Sidharth,23
853,Szajrych Jasza,23
853,Altamirano Collin,23
855,Donald Matthew,23
855,Marques Diogo,23
857,Lomakin Grigoriy,23
858,Suresh Dhakshineswar,22
859,Mrva Maxim,22
860,Vandermeersch Cyril,22
861,Lilov Victor,22
862,Summers Matthew,22
862,Brady Patrick,22
862,Kikuchi Yuta,22
865,Kalyanpur Adil,22
866,Beloborodko Illya,22
867,Callejon Hernando Sergio,22
868,Poertner Lasse,22
869,Perfetti Noah,22
870,Marino Pietro,22
871,Marinescu Mihai Razvan,22
872,Hara Friend Jay Dylan,21
873,Homberg Maximilian,21
874,Kotzen Alexander,21
875,Maamoun Karim-Mohamed,21
876,Lee Kuan-Yi (1996),21
877,De La Fuente Santiago,21
878,Honda Naoya,21
878,Raynel Amaury,21
880,Mashtakov Nikita,21
881,Eriksson Sebastian,21
882,Bassem Sobhy Michael,21
882,Tang Sheng,21
884,Nedelko Ivan,20
885,Ostapenkov Daniil,20
885,Strode Isaiah,20
887,Chung Yunseong,20
888,Magadan Alan,20
888,Van Der Meerschen Martin,20
888,Delage Pierre,20
891,Flores Jesse,20
892,Khoeblal Elgin,20
893,Vales Amit,20
